标准维度名,中文名,维度分组,维度分类,源类型,GG-Account,GG-Campaign,GG-AdGroup,GG-Ad,GG-Keyword,GG-SearchQuery,GG-Geographic,GG-CampaignTargeting,GG-ConversionAction,TT-Account,TT-Campaign,TT-AdGroup,TT-Ad,AMZ-Account,AMZ-Campaign,AMZ-AdGroup,AMZ-Ad,FB-Account,FB-Campaign,FB-AdSet,FB-Ad
date,日期,Time,时间,Segment,-,segments.date,segments.date,segments.date,segments.date,segments.date,segments.date,-,-,stat_time_day,stat_time_day,stat_time_day,stat_time_day,-,date,date,date,-,date_start,date_start,date_start
geo_target_country,地理定向国家,Geographic,地理,Segment,-,-,-,-,-,-,segments.geo_target_most_specific_location,-,-,country_code,country_code,country_code,country_code,-,-,-,-,-,country,country,country
customer_id,账户ID,Account,账户层级,Metadata,id,customer_id,customer_id,customer_id,customer_id,customer_id,customer_id,-,-,advertiser_id,advertiser_id,advertiser_id,advertiser_id,profileId,advertiserId,advertiserId,advertiserId,account_id,account_id,account_id,account_id
customer_name,账户名称,Account,账户层级,Metadata,descriptive_name,customer_descriptive_name,customer_descriptive_name,customer_descriptive_name,customer_descriptive_name,customer_name,customer_name,-,-,-,-,-,-,name,-,-,-,account_name,account_name,account_name,account_name
campaign_id,广告系列ID,Campaign,层级,Metadata,-,campaign_id,campaign_id,campaign_id,campaign_id,campaign_id,campaign_id,-,-,-,campaign_id,campaign_id,campaign_id,-,orderId/campaignId,orderId/campaignId,orderId/campaignId,-,campaign_id,campaign_id,campaign_id
campaign_name,广告系列名称,Campaign,层级,Metadata,-,campaign_name,campaign_name,campaign_name,campaign_name,campaign_name,campaign_name,-,-,-,-,-,-,-,orderName/campaignName,orderName/campaignName,orderName/campaignName,-,campaign_name,campaign_name,campaign_name
campaign_status,广告系列状态,Campaign,层级,Metadata,-,campaign_status,campaign_status,campaign_status,campaign_status,campaign_status,campaign_status,-,-,-,-,-,-,-,campaignStatus,campaignStatus,campaignStatus,-,status,status,status
campaign_bidding_strategy_type,出价策略类型,Campaign,层级,Metadata,-,bidding_strategy_type,campaign_bidding_strategy_type,campaign_bidding_strategy_type,campaign_bidding_strategy_type,-,-,-,-,-,-,-,-,-,campaignBiddingStrategy,campaignBiddingStrategy,campaignBiddingStrategy,-,bid_strategy,bid_strategy,bid_strategy
budget_amount_micros,预算金额,Campaign,层级,Metadata,-,budget_amount_micros,-,-,-,-,-,-,-,budget,budget,-,-,-,campaignBudgetAmount,campaignBudgetAmount,campaignBudgetAmount,-,daily_budget,daily_budget,daily_budget
ad_group_id,广告组ID,Ad Group,层级,Metadata,-,-,id,ad_group_id,ad_group_id,ad_group_id,ad_group_id,-,-,-,-,adgroup_id,adgroup_id,-,-,lineItemId/adGroupId,lineItemId/adGroupId,-,-,adset_id,adset_id
ad_group_name,广告组名称,Ad Group,层级,Metadata,-,-,name,ad_group_name,ad_group_name,ad_group_name,ad_group_name,-,-,-,-,-,-,-,-,lineItemName/adGroupName,-,-,-,adset_name,adset_name
ad_id,广告ID,Ad,广告层级,Metadata,-,-,-,ad_id,-,-,-,-,-,-,-,-,ad_id,-,-,-,creativeId/targetId/keywordId,-,-,-,ad_id
