标准指标名,中文名,指标分组,GG-Account,GG-Campaign,GG-AdGroup,GG-Ad,GG-Keyword,GG-SearchQuery,GG-Geographic,TT-Advertiser,TT-Campaign,TT-AdGroup,TT-Ad,AMZ-Campaign,AMZ-AdGroup,AMZ-Ad,FB-Campaign,FB-AdSet,FB-Ad
impressions,展示量,Core,-,impressions,impressions,impressions,impressions,impressions,impressions,impressions,impressions,impressions,impressions,impressions,impressions,impressions,impressions,impressions,impressions
clicks,点击量,Core,-,clicks,clicks,clicks,clicks,clicks,clicks,clicks,clicks,clicks,clicks,clickThroughs/clicks,clickThroughs/clicks,clickThroughs/clicks,clicks,clicks,clicks
cost_micros,花费,Core,-,cost_micros,cost_micros,cost_micros,cost_micros,cost_micros,cost_micros,spend,spend,spend,spend,totalCost/cost,totalCost/cost,totalCost/cost,spend,spend,spend
ctr,点击率,Core,-,ctr,ctr,ctr,ctr,ctr,ctr,ctr,ctr,ctr,ctr,CTR,CTR,CTR,ctr,ctr,ctr
average_cpc,平均点击成本,Core,-,average_cpc,average_cpc,average_cpc,average_cpc,average_cpc,average_cpc,cpc,cpc,cpc,cpc,eCPC,eCPC,eCPC,cpc,cpc,cpc
average_cpm,平均千次展示成本,Core,-,average_cpm,average_cpm,average_cpm,average_cpm,-,-,cpm,cpm,cpm,cpm,eCPM,eCPM,eCPM,cpm,cpm,cpm
average_cost,平均费用,Core,-,average_cost,average_cost,average_cost,average_cost,average_cost,-,-,-,-,-,-,-,-,-,-,-
average_cpe,平均互动成本,Core,-,average_cpe,average_cpe,average_cpe,average_cpe,average_cpe,-,-,-,-,-,-,-,-,-,-,-
relative_ctr,相对点击率,Core,-,relative_ctr,relative_ctr,relative_ctr,-,-,-,-,-,-,-,-,-,-,-,-,-
coviewed_impressions,共同观看展示量,Core,-,coviewed_impressions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
primary_impressions,主要展示量,Core,-,primary_impressions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
invalid_clicks,无效点击量,Core,-,invalid_clicks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
general_invalid_clicks,一般无效点击量,Core,-,general_invalid_clicks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
invalid_click_rate,无效点击率,Core,-,invalid_click_rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
general_invalid_click_rate,一般无效点击率,Core,-,general_invalid_click_rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
clicks_unique_query_clusters,唯一查询集群点击量,Core,-,clicks_unique_query_clusters,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
impressions_unique_query_clusters,唯一查询集群展示量,Core,-,impressions_unique_query_clusters,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
publisher_organic_clicks,发布商自然点击量,Core,-,publisher_organic_clicks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
publisher_purchased_clicks,发布商付费点击量,Core,-,publisher_purchased_clicks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
publisher_unknown_clicks,发布商未知点击量,Core,-,publisher_unknown_clicks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
eligible_impressions_from_location_asset_store_reach,店铺覆盖可用展示量,Core,-,eligible_impressions_from_location_asset_store_reach,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
reach,触达人数,Core,-,-,-,-,-,-,-,reach,reach,reach,reach,-,-,-,reach,reach,reach
frequency,频次,Core,-,-,-,-,-,-,-,frequency,frequency,frequency,frequency,-,-,-,frequency,frequency,frequency
budget,预算,Core,-,-,-,-,-,-,-,budget,budget,budget,budget,-,-,-,-,-,-
conversions,转化量,Conversions,-,conversions,conversions,conversions,conversions,conversions,conversions,conversion,conversion,conversion,conversion,totalPurchases14d/purchases7d,totalPurchases14d/purchases7d,totalPurchases14d/purchases7d,actions:purchase,actions:purchase,actions:purchase
