标准维度名,维度分组,GG-Account,GG-Campaign,GG-AdGroup,GG-Ad,GG-Keyword,GG-SearchQuery,GG-Geographic,GG-CampaignTargeting,GG-ConversionAction,TT-Account,TT-Campaign,TT-AdGroup,TT-Ad,AMZ-Account,AMZ-Campaign,AMZ-AdGroup,AMZ-Ad,FB-Account,FB-Campaign,FB-AdSet,FB-Ad
customer_id,Account,id,customer_id,customer_id,customer_id,customer_id,customer_id,customer_id,-,-,advertiser_id,advertiser_id,advertiser_id,advertiser_id,profileId,advertiserId,advertiserId,advertiserId,account_id,account_id,account_id,account_id
customer_name,Account,descriptive_name,customer_descriptive_name,customer_descriptive_name,customer_descriptive_name,customer_descriptive_name,customer_name,customer_name,-,-,-,-,-,-,name,-,-,-,account_name,account_name,account_name,account_name
currency_code,Account,currency_code,customer_currency_code,customer_currency_code,customer_currency_code,customer_currency_code,customer_currency_code,customer_currency_code,-,-,-,-,-,-,-,-,-,-,account_currency,account_currency,account_currency,account_currency
time_zone,Account,time_zone,customer_time_zone,customer_time_zone,customer_time_zone,customer_time_zone,customer_time_zone,customer_time_zone,-,-,-,-,-,-,-,-,-,-,-,-,-,-
auto_tagging_enabled,Account,auto_tagging_enabled,customer_auto_tagging_enabled,customer_auto_tagging_enabled,customer_auto_tagging_enabled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
optimization_score,Account,optimization_score,customer_optimization_score,customer_optimization_score,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tracking_url_template,Account,tracking_url_template,customer_tracking_url_template,customer_tracking_url_template,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
campaign_id,Campaign,-,campaign_id,campaign_id,campaign_id,campaign_id,campaign_id,campaign_id,-,-,-,campaign_id,campaign_id,campaign_id,-,orderId/campaignId,orderId/campaignId,orderId/campaignId,-,campaign_id,campaign_id,campaign_id
campaign_name,Campaign,-,campaign_name,campaign_name,campaign_name,campaign_name,campaign_name,campaign_name,-,-,-,-,-,-,-,orderName/campaignName,orderName/campaignName,orderName/campaignName,-,campaign_name,campaign_name,campaign_name
campaign_status,Campaign,-,campaign_status,campaign_status,campaign_status,campaign_status,campaign_status,campaign_status,-,-,-,-,-,-,-,campaignStatus,campaignStatus,campaignStatus,-,status,status,status
campaign_start_date,Campaign,-,start_date,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,start_time,start_time,start_time
campaign_end_date,Campaign,-,end_date,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,stop_time,stop_time,stop_time
campaign_advertising_channel_type,Campaign,-,advertising_channel_type,campaign_advertising_channel_type,campaign_advertising_channel_type,campaign_advertising_channel_type,campaign_advertising_channel_type,campaign_advertising_channel_type,-,-,-,-,-,-,-,-,-,-,-,-,-,-
campaign_advertising_channel_sub_type,Campaign,-,advertising_channel_sub_type,campaign_advertising_channel_sub_type,campaign_advertising_channel_sub_type,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
campaign_bidding_strategy_type,Campaign,-,bidding_strategy_type,campaign_bidding_strategy_type,campaign_bidding_strategy_type,campaign_bidding_strategy_type,-,-,-,-,-,-,-,-,-,campaignBiddingStrategy,campaignBiddingStrategy,campaignBiddingStrategy,-,bid_strategy,bid_strategy,bid_strategy
